Customer_id;Customer_name;Address_line1
Jaya Medan 1;Jaya Medan 1;Jl. JAMIN GINTING KM. 9,5 MEDAN
Johan Tanjung Balai 1;Johan Tanjung Balai 1;GUDANG GH.Jl. TELUK NIBUNG SIMPANG PT. TIMUR JAYA TANJUNG BALAI
Juliandi Property Medan 1;Juliandi Property Medan 1;Jl. SM. RAJA NO.12 (SEBELAH DINAS KEHUTANAN/ DEPAN SEKOLAH ALWASLIYAH)
Junto Gedung Arca 1;Junto Gedung Arca 1;Jl. GEDUNG ARCA NO.11 MEDAN
Kalijati Binjai 1;Kalijati Binjai 1;Jl. GATOT SUBROTO NO.219 BINJAI
Kamaruddin (Kepala Dusun) Batubara 1;Kamaruddin (Kepala Dusun) Batubara 1;DUSUN I DESA KUALAH INDAH KEC. SEI SUKA KAB. BATUBARA
Kapolres Batubara 1;Kapolres Batubara 1;BATUBARA
Karunia Jaya Bahagia 1;Karunia Jaya Bahagia 1;Jl. BAHAGIA BY PASS NO. 45 D (MASUK DARI SULTAN DENAI )
Karunia Jaya Johor 1;Karunia Jaya Johor 1;Jl. KARYA JAYA MEDAN JOHOR
Karya Andalan Sejahtera Medan 1;Karya Andalan Sejahtera Medan 1;Jl. SISINGAMANGARAJA KM 5,5 NO. 1 C MEDAN
Karya Cipta Tirta Murni Medan 1;Karya Cipta Tirta Murni Medan 1;Jl. EKA SUKA NO.8 JOHOR MEDAN
Karya Jaya Johor 1;Karya Jaya Johor 1;Jl. KARYA JAYA MEDAN JOHOR
Karya Jaya Laut Dendang 1;Karya Jaya Laut Dendang 1;Jl. PERHUBUNGAN NO.34 A / 86 SIMPANG BEO, LAUT DENDANG
Karya Maju Bersama Medan 1;Karya Maju Bersama Medan 1;Jl. PEMBANGUNAN BARU NO.18 MEDAN
Karya Prima Johor 1;Karya Prima Johor 1;Jl. KARYA JAYA NO. 266 A KEC. MEDAN JOHOR
Karya Setia Residence Medan 1;Karya Setia Residence Medan 1;Jl. KARYA SETIA MEDAN
Karya Tebing 1;Karya Tebing 1;Jl. IMAM BONJOL NO. 8 TEBING TINGGI KOTA
Karya Vika Jaya Namorambe 1;Karya Vika Jaya Namorambe 1;Jl. NAMORAMBE PASAR III KEC. NAMORAMBE MEDAN 
Keluarga Kisaran 1;Keluarga Kisaran 1;Jl. BUDI UTOMO KECAMATAN.SIUMBUT - UMBUT, KISARAN
Kembar Jaya Namorambe 1;Kembar Jaya Namorambe 1;Jl. BESAR NAMORAMBE (SIMPANG KOWILHAN)
Kencana Agung Johor 1;Kencana Agung Johor 1;Jl. KARYA JAYA NO. 45 MEDAN JOHOR
KGJ Group Medan 1;KGJ Group Medan 1;Jl. AAMIR HAMZAH NO 111 MEDAN / DIKIRIM KE PERUMAHAN JATI KESUMAJl. NAMORAMBE JATI KESUMA MEDAN
Klumpang Jaya Klumpang 1;Klumpang Jaya Klumpang 1;Jl. BESAR KLUMPANG PASAR 3 SAMPING TITI KEBUN TEBU
Koramil Tajung Balai 1;Koramil Tajung Balai 1;TANJUNG BALAI (SIMPANG MAKAM PAHLAWAN TANJUNG BALAI)
Kpum Medan 1;Kpum Medan 1;Jl. RAHMAD BUDIN PASAR 5 MARELAN
Ksu Mpsu Sigura Gura 1;Ksu Mpsu Sigura Gura 1;Jl. SIGURA-GURA KM.42 KEC. PULAU RAKYAT KAB. ASAHAN
Kurnia Padang Bulan 1;Kurnia Padang Bulan 1;Jl. JAMIN GINTIN NO. 519 PADANG BULAN MEDAN
Laris Jaya Kota Pinang 1;Laris Jaya Kota Pinang 1;Jl. LINTAS AEK NABARA KOTA PINANG KM. 5 PEMATANG SELENG KEC. BILAH HULU KAB. LABUHAN BATU
Laris Jaya Marendal 1;Laris Jaya Marendal 1;Jl. MARENDAL PASAR 7 MEDAN
Lembah Melintang Denai 1;Lembah Melintang Denai 1;Jl. PANGLIMA DENAI AMPLAS 81 A
Linsa Pangururan 1;Linsa Pangururan 1;Jl. H.DARIANUS SINAGA PANGURURAN
Logam Jaya Sei Piring 1;Logam Jaya Sei Piring 1;Jl. BESAR SUNGAI PIRING
Mahkota Kaca Bagan Batu 1;Mahkota Kaca Bagan Batu 1;Jl. JENDRAL SUDIRMAN SAMPING KLINIK AGUNG KEC. BAGAN SINEMBAH, BAGAN BATU
Mahkota Kaca Sinembah 1;Mahkota Kaca Sinembah 1;Jl. JENDRAL SUDIRMAN SAMPING KLINIK AGUNG KEC. BAGAN SINEMBAH, BAGAN BATU
Maja Agung Galang 1;Maja Agung Galang 1;Jl. PERINTIS KEMERDEKAAN NO.9 GALANG
